area_name,current_year,current_year_count,previous_year_count,increase
Central,2021,1847,1460,387
Hollywood,2021,1425,1049,376
Olympic,2022,1376,1170,206
Northeast,2021,791,599,192
Central,2022,2029,1847,182
Wilshire,2021,932,753,179
Hollenbeck,2021,995,827,168
"N Hollywood",2021,839,692,147
Olympic,2021,1170,1033,137
Rampart,2022,1438,1312,126
Newton,2022,1665,1553,112
"West Valley",2022,770,661,109
Devonshire,2021,552,450,102
Rampart,2023,1525,1438,87
Topanga,2021,640,560,80
"West LA",2023,442,363,79
Southwest,2021,1487,1410,77
"77th Street",2022,2525,2451,74
Harbor,2021,899,830,69
Topanga,2022,709,640,69
"Van Nuys",2022,668,601,67
Rampart,2021,1312,1253,59
Pacific,2021,870,812,58
Devonshire,2022,604,552,52
Foothill,2023,671,624,47
Southeast,2022,1880,1834,46
"West Valley",2021,661,621,40
Newton,2021,1553,1517,36
Foothill,2021,618,587,31
"Van Nuys",2021,601,575,26
Pacific,2023,816,791,25
"Van Nuys",2023,689,668,21
"N Hollywood",2023,845,826,19
Mission,2021,795,781,14
Devonshire,2023,616,604,12
Harbor,2022,909,899,10
"West LA",2021,406,397,9
Wilshire,2023,836,829,7
Foothill,2022,624,618,6
