weapon_description,weapon_count
,677654
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",174721
"UNKNOWN WEAPON/OTHER WEAPON",36382
"VERBAL THREAT",23840
"HAND GUN",20184
"SEMI-AUTOMATIC PISTOL",7267
"KNIFE WITH BLADE 6INCHES OR LESS",6837
"UNKNOWN FIREARM",6581
"OTHER KNIFE",5880
"MACE/PEPPER SPRAY",3730
VEHICLE,3260
"ROCK/THROWN OBJECT",2739
"PIPE/METAL PIPE",2469
BOTTLE,2414
"FOLDING KNIFE",2266
STICK,2249
CLUB/BAT,2088
"KITCHEN KNIFE",1921
"AIR PISTOL/REVOLVER/RIFLE/BB GUN",1864
"KNIFE WITH BLADE OVER 6 INCHES IN LENGTH",1697
"BLUNT INSTRUMENT",1387
HAMMER,1355
"SIMULATED GUN",1252
REVOLVER,1186
MACHETE,1144
"OTHER FIREARM",948
"PHYSICAL PRESENCE",945
"OTHER CUTTING INSTRUMENT",932
"UNKNOWN TYPE CUTTING INSTRUMENT",884
SCREWDRIVER,783
"CONCRETE BLOCK/BRICK",706
"BELT FLAILING INSTRUMENT/CHAIN",688
FIRE,681
SCISSORS,659
RIFLE,496
"FIXED OBJECT",406
"STUN GUN",395
GLASS,335
AXE,323
SHOTGUN,315
BOARD,310
"CAUSTIC CHEMICAL/POISON",241
"SWITCH BLADE",234
"BRASS KNUCKLES",208
"BOMB THREAT",194
"TOY GUN",157
"TIRE IRON",149
"SCALDING LIQUID",145
SWORD,138
"RAZOR BLADE",118
"HECKLER & KOCH 93 SEMIAUTOMATIC ASSAULT RIFLE",104
DIRK/DAGGER,92
"EXPLOXIVE DEVICE",86
"ASSAULT WEAPON/UZI/AK47/ETC",77
"ICE PICK",69
RAZOR,66
"DEMAND NOTE",65
"SEMI-AUTOMATIC RIFLE",55
LIQUOR/DRUGS,54
"DOG/ANIMAL (SIC ANIMAL ON)",53
ROPE/LIGATURE,50
"STARTER PISTOL/REVOLVER",41
CLEAVER,36
"BOWIE KNIFE",33
"SAWED OFF RIFLE/SHOTGUN",29
"BOW AND ARROW",28
"AUTOMATIC WEAPON/SUB-MACHINE GUN",28
SYRINGE,22
"STRAIGHT RAZOR",19
"UNK TYPE SEMIAUTOMATIC ASSAULT RIFLE",15
"MARTIAL ARTS WEAPONS",14
"RELIC FIREARM",13
BLACKJACK,12
"UZI SEMIAUTOMATIC ASSAULT RIFLE",10
"ANTIQUE FIREARM",9
"MAC-11 SEMIAUTOMATIC ASSAULT WEAPON",3
"MAC-10 SEMIAUTOMATIC ASSAULT WEAPON",2
"HECKLER & KOCH 91 SEMIAUTOMATIC ASSAULT RIFLE",2
"M-14 SEMIAUTOMATIC ASSAULT RIFLE",2
"M1-1 SEMIAUTOMATIC ASSAULT RIFLE",1
